,Unnamed: 0,C_ID,Name,InChIKey,SMILES,CAS,LogS,smiles_canon
597,599.0,A-600,,RDJGWRFTDZZXSM-UHFFFAOYSA-N,O(Cc1ccccc1)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,,-2.222,CN1CCC23c4c5ccc(OCc6ccccc6)c4OC2C(O)C=CC3C1C5
598,600.0,A-601,,RDLPVSKMFDYCOR-UEKVPHQBSA-N,O=C(N[C@@H]1C(=O)N2C(=C(C)CS[C@H]12)C(=O)O)[C@H](N)C1=CCC=CC1,,-1.232,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1
600,602.0,A-603,,REIUXOLGHVXAEO-UHFFFAOYSA-N,OCCCCCCCCCCCCCCC,,-6.349999,CCCCCCCCCCCCCCCO
601,603.0,A-604,,REKQLYUAUXYJSZ-UHFFFAOYSA-N,O=C(NN)c1ccc(OC)cc1,,-1.151,COc1ccc(C(=O)NN)cc1
603,605.0,A-606,,RFMMMVDNIPUKGG-UHFFFAOYSA-N,O=C(O)C(NC(=O)C)CCC(=O)O,,-0.711,CC(=O)NC(CCC(=O)O)C(=O)O
606,608.0,A-609,,RHIROFAGUQOFLU-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2c(c1Cl)oc1c(Cl)c(Cl)c(Cl)c(Cl)c21,,-11.522879,Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl
610,612.0,A-613,,RJMIEHBSYVWVIN-UHFFFAOYSA-N,O=C(O)C(C)c1ccc(N2C(=O)c3c(cccc3)C2)cc1,,-4.308,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
620,622.0,A-623,,RLPGDEORIPLBNF-UHFFFAOYSA-N,C(C(C)C)(C(C)C)C,,-4.8,CC(C)C(C)C(C)C
622,624.0,A-625,,RMBFBMJGBANMMK-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)ccc([N+](=O)[O-])c1,,-2.82,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
623,625.0,A-626,,RMOUBSOVHSONPZ-UHFFFAOYSA-N,O=COC(C)C,,-0.63,CC(C)OC=O
624,626.0,A-627,,RNFNDJAIBTYOQL-UHFFFAOYSA-N,ClC(Cl)(Cl)C(O)O,,0.72,OC(O)C(Cl)(Cl)Cl
626,628.0,A-629,,RNWGZXAHUPFXLL-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OCc2cc1,,-2.651,O=C1OCc2ccc([N+](=O)[O-])cc21
631,633.0,A-634,,RSDMFNVRFBIYRK-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCC1,,-1.609,O=C(OCC(=O)N1CCC1)c1ccccc1
632,634.0,A-635,,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,,-1.59,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
635,637.0,A-638,,RVCTZJVBWNFYRU-UHFFFAOYSA-N,Brc1c([N+](=O)[O-])cc(C(=O)O)cc1,,-2.966,O=C(O)c1ccc(Br)c([N+](=O)[O-])c1
639,641.0,A-642,,RXKNNAKAVAHBNK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])cc1,,-0.68825,O=[N+]([O-])c1cc[n+]([O-])cc1
640,642.0,A-643,,RXQCEGOUSFBKPI-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCCC)cc1,,-3.159,CCCOc1ccc([N+](=O)[O-])cc1N
641,643.0,A-644,,RZFZBHKDGHISSH-UHFFFAOYSA-N,Clc1c(c(Cl)cc(Cl)c1)c1ccc(Cl)cc1,,-6.940002,Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1
643,645.0,A-646,,RZTAMFZIAATZDJ-UHFFFAOYSA-N,Clc1c(Cl)cccc1C1C(=C(C)NC(=C1C(=O)OC)C)C(=O)OCC,,-5.682,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
645,647.0,A-648,,SAOKZLXYCUGLFA-UHFFFAOYSA-N,O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,,-5.064,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
648,650.0,A-651,,SBZXBUIDTXKZTM-UHFFFAOYSA-N,O(CCOC)CCOC,,0.88,COCCOCCOC
651,653.0,A-654,,SDOJHDGZFOGOFD-UHFFFAOYSA-N,Cc1c(C)c2c(c3c1c1c(cc3)cccc1)cccc2,,-7.009999,Cc1c(C)c2c3ccccc3ccc2c2ccccc12
654,656.0,A-657,,SGMHGVVTMOGJMX-UHFFFAOYSA-N,SCC(=O)Nc1cc2c(cc1)cccc2,,-3.337,O=C(CS)Nc1ccc2ccccc2c1
655,657.0,A-658,,SGUAFYQXFOLMHL-UHFFFAOYSA-N,O=C(N)c1c(O)ccc(C(O)CNC(CCc2ccccc2)C)c1,,-1.3,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
656,658.0,A-659,,SJNIEBAPMPLYAB-UHFFFAOYSA-N,Clc1c(=O)oc2c(c1C)cc(OP(=S)(OCC)OCC)cc2,,-5.38,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1
658,660.0,A-661,,SKGXYFVQZVPEFP-UHFFFAOYSA-N,Clc1c(Cl)c2Oc3c(Oc2cc1Cl)cc(Cl)cc3,,-8.890084,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2
661,663.0,A-664,,SLAMLWHELXOEJZ-UHFFFAOYSA-N,O=[N+]([O-])c1c(C(=O)O)cccc1,,-1.474,O=C(O)c1ccccc1[N+](=O)[O-]
663,665.0,A-666,,SLXKOJJOQWFEFD-UHFFFAOYSA-N,O=C(O)CCCCCN,,-0.97469,NCCCCCC(=O)O
669,673.0,A-674,,SNWQKAWITMVCQW-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)C)c1ccc(NC(=O)c2c(C(=O)O)cccc2)cc1,,-2.517,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1
670,674.0,A-675,,SONNWYBIRXJNDC-VIFPVBQESA-N,O[C@@H](CNC)c1cc(O)ccc1,,0.58,CNCC(O)c1cccc(O)c1
672,676.0,A-677,,SPFYMRJSYKOXGV-UHFFFAOYSA-N,Fc1c(N2CCN(CC)CC2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,,-3.1811,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
673,677.0,A-678,,SPSSULHKWOKEEL-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c([N+](=O)[O-])cc([N+](=O)[O-])c1,,-3.22,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
674,678.0,A-679,,SSLKKMZJCJBOML-UHFFFAOYSA-N,Clc1nnc(SCC(=O)N(CC)CC)cc1,,-1.72,CCN(CC)C(=O)CSc1ccc(Cl)nn1
675,679.0,A-680,,STCOOQWBFONSKY-UHFFFAOYSA-N,P(=O)(OCCCC)(OCCCC)OCCCC,,-2.846,CCCCOP(=O)(OCCCC)OCCCC
676,680.0,A-681,,SUSRORUBZHMPCO-UHFFFAOYSA-N,Clc1c(Oc2cc(C(=O)OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,,-6.0,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
677,681.0,A-682,,SVFKQHLOBRUZGV-UHFFFAOYSA-N,O=c1n(C)c2c(n(CC)c3ncccc13)nccc2,,-2.62,CCN1c2ncccc2C(=O)N(C)c2cccnc21
678,682.0,A-683,,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,O=C(C(C)C)C,,-0.12,CC(=O)C(C)C
684,688.0,A-689,,TYHHDWAHJRRYCU-UHFFFAOYSA-N,O=[N+]([O-])c1c(OCC(=O)O)cccc1,,-2.014,O=C(O)COc1ccccc1[N+](=O)[O-]
686,690.0,A-691,,TZFWDZFKRBELIQ-UHFFFAOYSA-N,Clc1cc2[nH]c(=O)oc2cc1,,-2.77605,O=c1[nH]c2cc(Cl)ccc2o1
689,693.0,A-694,,UAYYWDWWESZIPA-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,,-5.616,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
691,695.0,A-696,,UCIUVGVKELKZSD-UHFFFAOYSA-N,O=C(N(CCO)CCO)COC(=O)c1ccccc1,,0.43,O=C(OCC(=O)N(CCO)CCO)c1ccccc1
692,696.0,A-697,,UCMIRNVEIXFBKS-UHFFFAOYSA-N,O=C(O)CCN,,0.999479,NCCC(=O)O
694,698.0,A-699,,UCTWMZQNUQWSLP-UHFFFAOYSA-N,OC(CNC)c1cc(O)c(O)cc1,,-0.962,CNCC(O)c1ccc(O)c(O)c1
695,699.0,A-700,,UDUNORRTIFRHKX-UHFFFAOYSA-N,ClC1=C(NC2C=C(CC(=O)OCC(=O)NC(C(=O)OC)C(C)C)C=CC=C2)C(Cl)C=CC=C1,,-1.59908,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C
696,700.0,A-701,,UEJJHQNACJXSKW-UHFFFAOYSA-N,O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,,-2.68,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
698,702.0,A-703,,UFQCLRMJHOWNLX-UHFFFAOYSA-N,Brc1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,,-3.222,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1
699,703.0,A-704,,UGQVTTBSGZLNIL-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(O)CCSc2c1,,-2.254,NS(=O)(=O)c1cc2c(s1)C(O)CCS2
700,704.0,A-705,,UJOBWOGCFQCDNV-UHFFFAOYSA-N,[nH]1c2c(c3c1cccc3)cccc2,,-4.97,c1ccc2c(c1)[nH]c1ccccc12
701,705.0,A-706,,ULBXWWGWDPVHAO-UHFFFAOYSA-N,Clc1cc(NC(=O)OC(C#C)C)ccc1,,-2.62,C#CC(C)OC(=O)Nc1cccc(Cl)c1
707,711.0,A-712,,UOAMTSKGCBMZTC-UHFFFAOYSA-N,ClC(Cl)(Cl)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,,-5.67,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
709,713.0,A-714,,UPTOWXNJLZJTGD-UHFFFAOYSA-N,O=[N+]([O-])c1c(OC)ccc(OC)c1,,-3.117,COc1ccc(OC)c([N+](=O)[O-])c1
711,715.0,A-716,,UQIKOYWGLUXMNE-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1C(C(=O)OC)CCC1,,-2.084,COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1
714,718.0,A-719,,UVKZSORBKUEBAZ-UHFFFAOYSA-N,C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,,-1.527,CN1CCN(C(c2ccccc2)c2ccccc2)CC1
715,719.0,A-720,,UVTNFZQICZKOEM-UHFFFAOYSA-N,O=C(N)C(CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,,-1.75,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
718,722.0,A-723,,VDAMAZDKFJYVCT-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(OC)cc2)c1,,-4.222,COc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1
720,724.0,A-725,,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,,-0.4,C=C
725,729.0,A-730,,VHZXNQKVFDBFIK-NBBHSKLNSA-N,F[C@H]1C(=O)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC3)CCCC4)CC2)C1,,-6.79588,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O
727,731.0,A-732,,VKNITLPENCJQOP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(OC)c1OC,,-4.37,COc1cc(Cl)c(Cl)c(Cl)c1OC
732,736.0,A-737,,VOKSWYLNZZRQPF-GDIGMMSISA-N,Oc1cc2[C@@]3(C)[C@@H](C)[C@H](N(CC=C(C)C)CC3)Cc2cc1,,-3.8032,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
735,739.0,A-740,,VREFGVBLTWBCJP-UHFFFAOYSA-N,Clc1cc2C(=NCc3n(c(C)nn3)c2cc1)c1ccccc1,,-3.433,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
740,744.0,A-745,,VVSSGCCPNDSLPL-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCCc2c1,,-2.679,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2
741,745.0,A-746,,VWPOSFSPZNDTMJ-UCWKZMIHSA-N,O(CC(O)CNC(C)(C)C)c1c2c(ccc1)C[C@@H](O)[C@@H](O)C2,,-1.008,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
742,746.0,A-747,,VXGYRCVTBHVXMZ-UHFFFAOYSA-N,O=C(O)c1cc2c(nccc2)cc1,,-0.043,O=C(O)c1ccc2ncccc2c1
744,748.0,A-749,,VXLVYFXPZGPXCT-UHFFFAOYSA-N,S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(OC)cc2)c1,,-3.024,COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1
745,749.0,A-750,,VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(=O)O)c1,,-2.417,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
747,751.0,A-752,,WCLNVRQZUKYVAI-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(c(Cl)c(Cl)c(Cl)c3)Oc2c1Cl,,-11.221848,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
748,752.0,A-753,,WCYYQNSQJHPVMG-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cc(Cl)c(Cl)c3,,-9.950782,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
749,753.0,A-754,,WDCYWAQPCXBPJA-UHFFFAOYSA-N,O=[N+]([O-])c1cc([N+](=O)[O-])ccc1,,-2.29,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
751,755.0,A-756,,WDQPAMHFFCXSNU-BGABXYSRSA-N,Clc1ccc(Nc2/c(=N/C(C)C)/cc3n(c4ccc(Cl)cc4)c4c(nc3c2)cccc4)cc1,,-6.244,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
754,758.0,A-759,,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,,0.26,CC#N
764,768.0,A-769,,WJUSVIUZCYELMK-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1C(C)CCCC1C,,-0.824,CC1CCCC(C)N1C(=O)COC(=O)c1ccccc1
766,770.0,A-771,,WKLCYOHFTPREOW-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2SCCC(=O)c2c1,,-3.552,NS(=O)(=O)c1cc2c(s1)SCCC2=O
767,771.0,A-772,,WLJVNTCWHIRURA-UHFFFAOYSA-N,O=C(O)CCCCCC(=O)O,,-0.25192,O=C(O)CCCCCC(=O)O
769,773.0,A-774,,WMWJCKBJUQDYLM-UHFFFAOYSA-N,Clc1cc2Oc3c(Oc2cc1)ccc(Cl)c3,,-7.180002,Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2
771,775.0,A-776,,WQOXQRCZOLPYPM-UHFFFAOYSA-N,S(SC)C,,-1.44,CSSC
773,777.0,A-778,,WREGKURFCTUGRC-UHFFFAOYSA-N,O=c1n(C2OC(CO)CC2)ccc(N)n1,,-0.433,Nc1ccn(C2CCC(CO)O2)c(=O)n1
774,778.0,A-779,,WRKNTBMMMVTKKA-UHFFFAOYSA-N,O=C(N(CCO)C)COC(=O)c1ccccc1,,-1.09,CN(CCO)C(=O)COC(=O)c1ccccc1
776,780.0,A-781,,WRNGAZFESPEMCN-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cc(Cl)cc3,,-9.480172,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
781,785.0,A-786,,WWJZWCUNLNYYAU-UHFFFAOYSA-N,S=P(OC)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,,-6.24,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
782,786.0,A-787,,WXMYDHQMJVPNTD-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,,-4.376,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
783,787.0,A-788,,WXTMDXOMEHJXQO-UHFFFAOYSA-N,O=C(O)c1c(O)ccc(O)c1,,-0.10902,O=C(O)c1cc(O)ccc1O
784,788.0,A-789,,WXZMFSXDPGVJKK-UHFFFAOYSA-N,OCC(CO)(CO)CO,,-0.44,OCC(CO)(CO)CO
786,790.0,A-791,,WYEHFWKAOXOVJD-UHFFFAOYSA-N,FC(F)(F)c1cc(Oc2c(C(=O)Nc3c(F)cc(F)cc3)cccn2)ccc1,,-6.897001,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1
788,792.0,A-793,,WYMSBXTXOHUIGT-UHFFFAOYSA-N,P(=O)(OCC)(OCC)Oc1ccc([N+](=O)[O-])cc1,,-2.059,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
789,793.0,A-794,,WZJZMXBKUWKXTQ-UHFFFAOYSA-N,O=C(OCC)Nc1cc(OC(=O)Nc2ccccc2)ccc1,,-4.63,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
790,794.0,A-795,,WZWYJBNHTWCXIM-JLHYYAGUSA-N,O=S1(=O)N(C)/C(=C(/O)\Nc2ncccc2)/C(=O)c2sccc12,,-3.78351,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O
793,797.0,A-798,,XDLPWPNVUPKKSN-UHFFFAOYSA-N,Fc1c(N2CC(NC)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,,-5.405,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
796,800.0,A-801,,XEROSHXMTSNDBW-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(O)CCS(=O)c2c1,,-1.57,NS(=O)(=O)c1cc2c(s1)C(O)CCS2=O
797,801.0,A-802,,XFOHWECQTFIEIX-UHFFFAOYSA-N,O=[N+]([O-])c1cc2c(c3c(cccc3)C2)cc1,,-4.723,O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2
799,803.0,A-804,,XIGAUIHYSDTJHW-UHFFFAOYSA-N,O=C(N(C)c1ccccc1)COc1sc2c(n1)cccc2,,-4.87,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1
801,805.0,A-806,,XIURVHNZVLADCM-IUODEOHRSA-N,O=C(N[C@@H]1C(=O)N2C(=C(COC(=O)C)CS[C@H]12)C(=O)O)Cc1sccc1,,-2.938,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
803,807.0,A-808,,XJGVXQDUIWGIRW-UHFFFAOYSA-N,Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N1CCN(C)CC1,,-4.419,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
806,810.0,A-811,,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,O=C(NNCc1ccccc1)c1noc(C)c1,,-2.46,Cc1cc(C(=O)NNCc2ccccc2)no1
811,815.0,A-816,,XQUXKZZNEFRCAW-UHFFFAOYSA-N,O=C(OC(C#N)c1cc(Oc2ccccc2)ccc1)C1C(C)(C)C1(C)C,,-6.03,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
812,816.0,A-817,,XQXPVVBIMDBYFF-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)cc1,,-0.94422,O=C(O)Cc1ccc(O)cc1
814,818.0,A-819,,XRECTZIEBJDKEO-UHFFFAOYSA-N,Fc1c(N)[nH]c(=O)nc1,,-1.05193,Nc1[nH]c(=O)ncc1F
815,819.0,A-820,,XRHGWAGWAHHFLF-UHFFFAOYSA-N,Clc1n(C(C)C)nc(OP(=S)(OCC)OCC)n1,,-3.66,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1
817,821.0,A-822,,XSKQKDTZQNFCCB-UHFFFAOYSA-N,O=[N+]([O-])c1c(CO)cc2OCOc2c1,,-3.064,O=[N+]([O-])c1cc2c(cc1CO)OCO2
819,823.0,A-824,,XTRDKALNCIHHNI-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c([N+](=O)[O-])ccc1,,-3.0,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
820,824.0,A-825,,XUCIJNAGGSZNQT-UHFFFAOYSA-N,O(C(C#N)c1ccccc1)C1C(O)C(O)C(O)C(COC2C(O)C(O)C(O)C(CO)O2)O1,,-0.77,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1
821,825.0,A-826,,XUFQPHANEAPEMJ-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)CCSCc1nc(N=C(N)N)sc1)N,,-2.6468,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
822,826.0,A-827,,XUYPXLNMDZIRQH-UHFFFAOYSA-N,S(CCC(NC(=O)C)C(=O)O)C,,0.032,CSCCC(NC(C)=O)C(=O)O
824,828.0,A-829,,XYGUXAGVJDBSBP-UHFFFAOYSA-N,O=C(NCC(=O)N)COC(=O)c1ccccc1,,-1.498,NC(=O)CNC(=O)COC(=O)c1ccccc1
825,829.0,A-830,,XZTUSOXSLKTKJQ-UHFFFAOYSA-N,O=C1OCC(=C1)C1C2(C)C(O)(C3C(C4(C)C(CC(O)CC4)CC3)CC2)CC1,,-4.574,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O
826,830.0,A-831,,YAPQBXQYLJRXSA-UHFFFAOYSA-N,O=c1n(C)c2ncn(C)c2c(=O)[nH]1,,-2.58679,Cn1cnc2c1c(=O)[nH]c(=O)n2C
827,831.0,A-832,,YASYVMFAVPKPKE-UHFFFAOYSA-N,S(P(=O)(OC)NC(=O)C)C,,0.54,COP(=O)(NC(C)=O)SC
828,832.0,A-833,,YBPAYPRLUDCSEY-UHFFFAOYSA-N,O=C(N)Cc1ccc(O)cc1,,-2.38601,NC(=O)Cc1ccc(O)cc1
829,833.0,A-834,,YCLSOMLVSHPPFV-UHFFFAOYSA-N,S(SCCC(=O)O)CCC(=O)O,,-0.19,O=C(O)CCSSCCC(=O)O
833,837.0,A-838,,YFBPRJGDJKVWAH-UHFFFAOYSA-N,S(C)c1c(C)cc(OC(=O)NC)cc1C,,-3.921,CNC(=O)Oc1cc(C)c(SC)c(C)c1
837,841.0,A-842,,YIKYNHJUKRTCJL-UHFFFAOYSA-N,O=c1c(O)c(CC)occ1,,-0.89378,CCc1occc(=O)c1O
839,843.0,A-844,,YKGCCFHSXQHWIG-UHFFFAOYSA-N,O=c1cc2sc3c(nc2cc1)cccc3,,-3.716,O=c1ccc2nc3ccccc3sc-2c1
844,848.0,A-849,,YNARWAUTTJJADX-UHFFFAOYSA-N,S=c1n(C)c2c(n(CC)c3ncccc13)nccc2,,-4.63,CCN1c2ncccc2C(=S)N(C)c2cccnc21
850,854.0,A-855,,YOJAHJGBFDPSDI-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C(=O)OC)cc1,,-3.035,COC(=O)c1ccc([N+](=O)[O-])cc1
852,856.0,A-857,,YREQHYQNNWYQCJ-UHFFFAOYSA-N,O(CC(C)(C)c1ccc(OCC)cc1)Cc1cc(Oc2ccccc2)ccc1,,-8.59998,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
853,857.0,A-858,,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=c1c2c(sc3c1cccc3)cccc2,,-5.54,O=c1c2ccccc2sc2ccccc12
856,860.0,A-861,,YUWFEBAXEOLKSG-UHFFFAOYSA-N,Cc1c(C)c(C)c(C)c(C)c1C,,-5.23,Cc1c(C)c(C)c(C)c(C)c1C
857,861.0,A-862,,YVWZWRFAFZRJGU-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCC(O)CC1,,-1.349,O=C(OCC(=O)N1CCC(O)CC1)c1ccccc1
860,864.0,A-865,,YZVWKHVRBDQPMQ-UHFFFAOYSA-N,Nc1c2c3c4c(cc2)cccc4ccc3cc1,,-0.61272,Nc1ccc2ccc3cccc4ccc1c2c34
861,865.0,A-866,,ZAFYATHCZYHLPB-UHFFFAOYSA-N,O=C(N(C)C)Cc1c(c2ccc(C)cc2)nc2n1cc(C)cc2,,-1.297,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
862,866.0,A-867,,ZCINFQNVNLHJOV-UHFFFAOYSA-N,O=[N+]([O-])C1=C(OCC)C(=O)N(C(C)C)C1,,-4.331,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O
865,869.0,A-870,,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,Fc1c(N2CC(C)NCC2)c(F)cc2c(=O)c(C(=O)O)cn(CC)c12,,-2.3328,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
866,870.0,A-871,,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C(=C)CCCCC,,-3.73,C=CCCCCC
867,871.0,A-872,,ZGRYQDHDZGJMNF-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2c(S(=O)(=O)CC(O)C2)c1,,-1.589,NS(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O
869,873.0,A-874,,ZISSAWUMDACLOM-UHFFFAOYSA-N,C(C(C)C)(C)(C)C,,-4.36,CC(C)C(C)(C)C
870,874.0,A-875,,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(CCNC(=O)c2ncc(C)nc2)cc1,,-5.4881,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
871,875.0,A-876,,ZJYJZEAJZXVAMF-UHFFFAOYSA-N,O=[N+]([O-])c1cc2c(cc1)cccc2,,-3.824,O=[N+]([O-])c1ccc2ccccc2c1
874,878.0,A-879,,ZMISODWVFHHWNR-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,,-1.386,OC(c1ccccc1)(c1ccccc1)C1CCNCC1
